Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Social Services,311 SR CB5,Social-Services/311-SR-CB5/k6uw-9gs8,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Albert's Noise Complaints,Social-Services/Albert-s-Noise-Complaints/3di5-j8xx,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 1st half 2014,Social-Services/311-1st-half-2014/wpj4-tqqt,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311_DATA_EXTRACT_PRD_SCRIE_ONLY.2015-Apr-10,Social-Services/311_DATA_EXTRACT_PRD_SCRIE_ONLY-2015-Apr-10/kzh7-ywv5,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Donald Chin,http://data.cityofnewyork.us/api/users/3azg-g6vd,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Service Requests Lower Manhattan from 2014 to Presentv145,Social-Services/311-Service-Requests-Lower-Manhattan-from-2014-to-/gf4t-7vyd,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Service Requests Lower Manhattan from 2014 to Present V144,Social-Services/311-Service-Requests-Lower-Manhattan-from-2014-to-/s9xy-48dw,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Brooklyn CB9 SR's 2015,Social-Services/Brooklyn-CB9-SR-s-2015/wcyp-gyjt,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Public Pay Telephone Locations,Social-Services/Public-Pay-Telephone-Locations/t7sx-id53,Department of Information Technology & Telecommunications (DoITT),"Public Pay Telephone NYC Free Public Wi-Fi locations, Advertising Locations and Zoning Information (the zoning information should be compared with the dates of most recent zoning changes found on the NYC Planning website)  http://www.nyc.gov/html/dcp/home.html

Disclaimer
The Zoning Reference provides only general zoning information and is not meant to serve as a substitute for the actual regulations which are to be found in the Zoning Resolution.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"public pay telephones, ppt, payphones, reinvent payphones, wifi hotspot, nyc"
Public Safety,Map of NYC Fire Houses,Public-Safety/Map-of-NYC-Fire-Houses/pg99-2ihy,Fire Department of New York City (FDNY),Listing of all the fire houses in New York City,Chris Metcalf,http://data.cityofnewyork.us/api/users/i7d8-sc4w,"fire department, fdny, fd, fires, community board, station, fire station, fire house, emergency, 911"
City Government,Quality Of Life Indicators,City-Government/Quality-Of-Life-Indicators/8hkx-uppz,Downtown Alliance,Statistics on NYC quality of life,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"life, quality, statistic, community"
Transportation,Street Hail Livery Drivers - Active,Transportation/Street-Hail-Livery-Drivers-Active/5tub-eh45,Taxi and Limousine Commission (TLC),"NYC TLC licensed drivers that are currently active, in good standing and authorized to operate Street Hail Livery (SHL) vehicles. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"shl, boro taxi, green cabs, green taxi, street hail livery, drivers authorized, drivers active"
Recreation,Queens Library Branches,Recreation/Queens-Library-Branches/kh3d-xhq7,Queens Library (QBPL),Queens Public Library Hours and Locations,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"library, services, queens, qpl, hours, schedule"
Housing & Development,IPIS (Integrated Property Information System),Housing-Development/IPIS-Integrated-Property-Information-System-/n5mv-nfpy,Department of Citywide Administrative Services (DCAS),Database of City-owned properties and private properties that the City leases for City agency use.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"property, finance, lease, agency, city-owned, private, consumer affairs, dcas, administrative services, ipis (integrated property information system), ipis"
Social Services,NYC Wi-Fi Hotspot Locations,Social-Services/NYC-Wi-Fi-Hotspot-Locations/a9we-mtpn,Department of Information Technology & Telecommunications (DoITT),"Wi-Fi Providers:

AT&T (Free): Wi-Fi access is free for all users at all times.

Partners: In several parks, the NYC partner organizations provide publicly accessible Wi-Fi. Visit these parks to learn more information about their Wi-Fi service and how to connect.

Cable (Limited-Free): In NYC Parks provided by NYC DoITT Cable television franchisees.

Cablevision and Time Warner Cable (Limited Free) Connect for 3 free 10 minute sessions every 30 days or purchase a 99 cent day pass through midnight. Wi-Fi service is free at all times to Cablevision’s Optimum Online and Time Warner Cable broadband subscribers.

Wi-Fi Provider: Chelsea Wi-Fi (Free) Wi-Fi access is free for all users at all times. 

Chelsea Improvement Company has partnered with Google to provide Wi-Fi a free wireless Internet zone, a broadband region bounded by West 19th Street, Gansevoort Street, Eighth Avenue and the High Line Park.

Wi-Fi Provider: Downtown Brooklyn Wi-Fi (Free) 

The Downtown Brooklyn Partnership - the New York City Economic Development Corporation to provide Wi-Fi to the area bordered by Schermerhorn Street, Cadman Plaza West, Flatbush Avenue, and Tillary Street, along with select public spaces in the NYCHA Ingersoll and Whitman Houses. 

Wi-Fi Provider: Manhattan Downtown Alliance Wi-Fi (Free) 

Lower Manhattan Several public spaces all along Water Street, Front Street and the East River Esplanade south of Fulton Street and in several other locations throughout Lower Manhattan.





Wi-Fi Provider: Harlem Wi-Fi (Free) 

Network will extend 95 city blocks, from 110th to 138th Streets between Frederick Douglass Boulevard and Madison Avenue is free outdoor public wireless network.


Wi-Fi Provider: Transit Wireless (Free) 

Wi-Fi Services in the New York City subway system are available in certain underground stations. For more information visit http://www.transitwireless.com/stations/.

Wi-Fi Provider: Public Pay Telephone Franchisees (Free) 

Using existing payphone infrastructure, the City of New York has teamed up with private partners to provide free Wi-Fi service at public payphone kiosks across the five boroughs at no cost to taxpayers.

Wi-Fi Provider: New York Public Library 

Using Wireless Internet Access (Wi-Fi): All Library locations offer free wireless access (Wi-Fi) in public areas at all times the libraries are open.

Connecting to the Library's Wireless Network
•You must have a computer or other device equipped with an 802.11b-compatible wireless card.
•Using your computer's network utilities, look for the wireless network named ""NYPL.""
•The ""NYPL"" wireless network does not require a password to connect.

Limitations and Disclaimers Regarding Wireless Access
•The Library's wireless network is not secure. Information sent from or to your laptop can be captured by anyone else with a wireless device and the appropriate software, within three hundred feet.
•Library staff is not able to provide technical assistance and no guarantee can be provided that you will be able to make a wireless connection.
•The Library assumes no responsibility for the safety of equipment or for laptop configurations, security, or data files resulting from connection to the Library's network.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"wi-fi, parks, wifi, nyc wi-fi hotspot locations, internet, mifi, connectivity, optics, doitt, mobile, web, www, world wide web, websites"
Business,NYC Civil Service Titles,Business/NYC-Civil-Service-Titles/nzjr-3966,Department of Citywide Administrative Services (DCAS),List of civil service titles used by agencies throughout the City,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"civil, service, civil service, title"
Social Services,311 Service Requests from 2010 to Present,Social-Services/311-Service-Requests-from-2010-to-Present/7ahn-ypff,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,
Transportation,Medallion Vehicles - Inactive,Transportation/Medallion-Vehicles-Inactive/jgtb-hmpg,Taxi and Limousine Commission (TLC),"This list contains information on medallion vehicles that are currently inactive. The reason codes for an inactive medallion status are as follows: OOB for Out of Business, PEN for Pending, REV for Revoked, STO for In Storage and SUS for Suspended (Note: Reason for Suspension is also supplied). This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver, taxi suspension, suspended taxi, authorized taxi vehicle, nyc tlc taxi, inactive taxi"
Public Safety,FDNY Firehouse Listing,Public-Safety/FDNY-Firehouse-Listing/hc8x-tcnd,Fire Department of New York City (FDNY),Listing of all NYC fire houses with addresses,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fire department, fdny, fd, fires, community board, station, fire station, fire house, emergency, 911"
Transportation,For Hire Vehicles (FHV) - Active and Inactive Vehicles,Transportation/For-Hire-Vehicles-FHV-Active-and-Inactive-Vehicles/8wbx-tsch,Taxi and Limousine Commission (TLC),TLC authorized For-Hire vehicles that are active or inactive. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fhv, for hire, for-hire, for-hire-vehicles, drivers, taxi, active, inactive"
Housing & Development,Map of NYCHA Developments,Housing-Development/Map-of-NYCHA-Developments/i9rv-hdr5,New York City Housing Authority (NYCHA),Map of NYCHA developments as of July 2011.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nycha, nyc housing, gis, building sizes, residential, facilities, map of nycha developments"
Education,SAT Results,Education/SAT-Results/f9bf-2cp4,Department of Education (DOE),The most recent school level results for New York City on the SAT. Results are available at the school level for the graduating seniors of 2012. Records contain 2012 College-bound seniors mean SAT scores taken during SY 2012.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"sat result, nyc, school, lifelong learning"
Housing & Development,Projects in Construction Map,Housing-Development/Projects-in-Construction-Map/dzgh-ja44,School Construction Authority (SCA),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"school, construction, authority, sca, capital, improvement, project, current, education, lifelong learning"
City Government,ACRIS - Real Property Master,City-Government/ACRIS-Real-Property-Master/bnx9-e6tj,Department of Finance (DOF),Document Details for Real Property Related Documents Recorded in ACRIS,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dof, acris land records"
Public Safety,centralbooking precincts,Public-Safety/centralbooking-precincts/vwun-g6un,Department of City Planning (DCP),GIS data: Boundaries of Police Precincts,jlsweat,http://data.cityofnewyork.us/api/users/i3vs-gzf2,
